,subject,list,item,input,output,study,recall,repeat,intrusion
0,1,1,1,1,,True,False,0,False
1,1,1,2,2,,True,False,0,False
2,1,1,3,3,,True,False,0,False
3,1,1,4,4,,True,False,0,False
4,1,1,5,5,,True,False,0,False
5,1,1,6,6,,True,False,0,False
6,1,1,7,7,,True,False,0,False
7,1,1,8,8,,True,False,0,False
8,1,1,9,9,,True,False,0,False
9,1,1,10,10,,True,False,0,False
10,1,1,11,11,6.0,True,True,0,False
11,1,1,12,12,,True,False,0,False
12,1,1,13,13,,True,False,0,False
13,1,1,14,14,,True,False,0,False
14,1,1,15,15,1.0,True,True,0,False
15,1,1,16,16,2.0,True,True,0,False
16,1,1,17,17,3.0,True,True,0,False
17,1,1,18,18,4.0,True,True,0,False
18,1,1,19,19,,True,False,0,False
19,1,1,20,20,5.0,True,True,0,False
20,1,2,1,1,6.0,True,True,0,False
21,1,2,2,2,,True,False,0,False
22,1,2,3,3,,True,False,0,False
23,1,2,4,4,7.0,True,True,0,False
24,1,2,5,5,,True,False,0,False
25,1,2,6,6,,True,False,0,False
26,1,2,7,7,,True,False,0,False
27,1,2,8,8,,True,False,0,False
28,1,2,9,9,,True,False,0,False
29,1,2,10,10,,True,False,0,False
30,1,2,11,11,1.0,True,True,0,False
31,1,2,12,12,,True,False,0,False
32,1,2,13,13,,True,False,0,False
33,1,2,14,14,,True,False,0,False
34,1,2,15,15,2.0,True,True,0,False
35,1,2,16,16,3.0,True,True,0,False
36,1,2,17,17,,True,False,0,False
37,1,2,18,18,4.0,True,True,0,False
38,1,2,19,19,5.0,True,True,0,False
39,1,2,20,20,,True,False,0,False
40,1,3,1,1,4.0,True,True,0,False
41,1,3,2,2,,True,False,0,False
42,1,3,3,3,5.0,True,True,0,False
43,1,3,4,4,6.0,True,True,0,False
44,1,3,5,5,,True,False,0,False
45,1,3,6,6,,True,False,0,False
46,1,3,7,7,,True,False,0,False
47,1,3,8,8,,True,False,0,False
48,1,3,9,9,,True,False,0,False
49,1,3,10,10,,True,False,0,False
50,1,3,11,11,,True,False,0,False
51,1,3,12,12,,True,False,0,False
52,1,3,13,13,1.0,True,True,0,False
53,1,3,14,14,,True,False,0,False
54,1,3,15,15,,True,False,0,False
55,1,3,16,16,2.0,True,True,0,False
56,1,3,17,17,,True,False,0,False
57,1,3,18,18,,True,False,0,False
58,1,3,19,19,3.0,True,True,0,False
59,1,3,20,20,,True,False,0,False
60,1,4,1,1,,True,False,0,False
61,1,4,2,2,,True,False,0,False
62,1,4,3,3,,True,False,0,False
63,1,4,4,4,,True,False,0,False
64,1,4,5,5,,True,False,0,False
65,1,4,6,6,,True,False,0,False
66,1,4,7,7,,True,False,0,False
67,1,4,8,8,,True,False,0,False
68,1,4,9,9,,True,False,0,False
69,1,4,10,10,,True,False,0,False
70,1,4,11,11,,True,False,0,False
71,1,4,12,12,,True,False,0,False
72,1,4,13,13,1.0,True,True,0,False
73,1,4,14,14,2.0,True,True,0,False
74,1,4,15,15,3.0,True,True,0,False
75,1,4,16,16,4.0,True,True,0,False
76,1,4,17,17,5.0,True,True,0,False
77,1,4,18,18,,True,False,0,False
